,Book,Tests,WPM
0,EXO,1213,67.35463379706081
1,LEV,859,66.89878723370822
2,DEU,452,65.67943888376692
3,NUM,1288,65.00852573595166
4,Total,5345,63.84806415592701
5,GEN,1533,57.8490452449259
