,Local_Start_Hour,Number of Tests,WPM
0,0.0,115,66.12569421456251
1,1.0,51,62.64306678731171
2,2.0,49,62.22252898102986
3,3.0,50,59.90606342919155
4,4.0,50,60.2166506073374
5,5.0,43,62.66886455435257
6,6.0,45,60.75581805366803
7,7.0,58,61.76360490516751
8,8.0,43,61.12694428637855
9,9.0,43,57.21459936255539
10,10.0,47,59.81336914372619
11,11.0,138,60.231128026363365
12,12.0,150,57.05465134247788
13,13.0,149,67.52949257066568
14,14.0,42,63.83537781751041
15,15.0,117,66.5544859620401
16,16.0,146,67.74527151294961
17,17.0,417,67.89373762045417
18,18.0,380,67.07563776580213
19,19.0,540,65.96338564641185
20,20.0,425,61.89687687899004
21,21.0,333,63.234226250232986
22,22.0,333,66.98637509659028
23,23.0,92,65.35551239802207
