Local_Start_Date,Local_End_Date,Characters,Rank,Rank and Date
2024-07-21,2024-07-21,150067,1,#1: 2024-07-21
2024-08-18,2024-08-18,50064,2,#2: 2024-08-18
2024-08-19,2024-08-19,41671,3,#3: 2024-08-19
2024-08-17,2024-08-17,29665,4,#4: 2024-08-17
2024-07-24,2024-07-24,28765,5,#5: 2024-07-24
2024-07-26,2024-07-26,27238,6,#6: 2024-07-26
2024-08-30,2024-08-30,26340,7,#7: 2024-08-30
2024-07-31,2024-07-31,23299,8,#8: 2024-07-31
2024-08-08,2024-08-08,21163,9,#9: 2024-08-08
2024-08-20,2024-08-20,20204,10,#10: 2024-08-20
2024-08-09,2024-08-09,19413,11,#11: 2024-08-09
2024-07-23,2024-07-23,17446,12,#12: 2024-07-23
2024-07-28,2024-07-28,14653,13,#13: 2024-07-28
2024-09-25,2024-09-25,11896,14,#14: 2024-09-25
2024-07-29,2024-07-29,11279,15,#15: 2024-07-29
2024-07-25,2024-07-25,7397,16,#16: 2024-07-25
2024-08-29,2024-08-29,3776,17,#17: 2024-08-29
2024-08-07,2024-08-07,3229,18,#18: 2024-08-07
2024-08-22,2024-08-22,2600,19,#19: 2024-08-22
