Local_Start_Date,Local_End_Date,Verses,Rank,Rank and Date
2024-07-21,2024-07-21,1172,1,#1: 2024-07-21
2024-08-18,2024-08-18,376,2,#2: 2024-08-18
2024-08-19,2024-08-19,341,3,#3: 2024-08-19
2024-08-17,2024-08-17,225,4,#4: 2024-08-17
2024-07-24,2024-07-24,198,5,#5: 2024-07-24
2024-07-26,2024-07-26,184,6,#6: 2024-07-26
2024-08-30,2024-08-30,176,7,#7: 2024-08-30
2024-07-31,2024-07-31,172,8,#8: 2024-07-31
2024-08-08,2024-08-08,162,9,#9: 2024-08-08
2024-08-09,2024-08-09,153,10,#10: 2024-08-09
2024-08-20,2024-08-20,142,11,#11: 2024-08-20
2024-07-23,2024-07-23,141,12,#12: 2024-07-23
2024-07-28,2024-07-28,108,13,#13: 2024-07-28
2024-07-29,2024-07-29,86,14,#14: 2024-07-29
2024-09-25,2024-09-25,84,15,#15: 2024-09-25
2024-07-25,2024-07-25,58,16,#16: 2024-07-25
2024-08-07,2024-08-07,29,17,#17: 2024-08-07
2024-08-29,2024-08-29,29,17,#17: 2024-08-29
2024-08-22,2024-08-22,18,19,#19: 2024-08-22
